Provinsi,Jahe (Kg),Laos/Lengkuas (Kg),Kencur (Kg),Kunyit (Kg),Lempuyang (Kg),Temulawak (Kg),Temuireng (Kg), 
BALI,8340720.0,671614.0,499233.0,2221772.0,,6299.0,,2023
NUSA TENGGARA BARAT,2383397.0,395903.0,153614.0,530302.0,14594.0,104189.0,3340.0,2023
NUSA TENGGARA TIMUR,1384763.0,692058.0,106600.0,1243534.0,289.0,210264.0,1975.0,2023
KALIMANTAN BARAT,5162851.0,507741.0,410186.0,1269217.0,16283.0,101719.0,38901.0,2023
KALIMANTAN TENGAH,452657.0,306180.0,118032.0,264465.0,13686.0,23353.0,10177.0,2023
KALIMANTAN SELATAN,3153927.0,618517.0,2463810.0,1525833.0,225.0,237771.0,,2023
KALIMANTAN TIMUR,539284.0,197238.0,44118.0,125183.0,3294.0,27154.0,34480.0,2023
KALIMANTAN UTARA,762686.0,1197173.0,142095.0,267431.0,57257.0,43952.0,50727.0,2023
SULAWESI UTARA,1432905.0,70394.0,3745.0,450603.0,,16191.0,,2023
SULAWESI TENGAH,1080228.0,301419.0,461321.0,745370.0,6597.0,114087.0,7391.0,2023
SULAWESI SELATAN,8311368.0,3099114.0,225758.0,14546000.0,28165.0,61859.0,333.0,2023
SULAWESI TENGGARA,1014742.0,341764.0,210670.0,279362.0,3590.0,37917.0,5539.0,2023
GORONTALO,25556.0,20.0,548.0,16723.0,,432.0,225.0,2023
SULAWESI BARAT,84507.0,83380.0,32756.0,94810.0,16292.0,295.0,10.0,2023
MALUKU,890873.0,294478.0,306397.0,790069.0,7700.0,1524.0,6000.0,2023
MALUKU UTARA,2719584.0,1021490.0,87132.0,1499445.0,,32375.0,7.0,2023
PAPUA BARAT,72573.0,52276.0,31349.0,183066.0,1986.0,17316.0,592.0,2023
PAPUA BARAT DAYA,,,,,,,,2023
PAPUA,218555.0,72676.0,34136.0,73866.0,5470.0,12469.0,6106.0,2023
PAPUA SELATAN,,,,,,,,2023
PAPUA TENGAH,,,,,,,,2023
PAPUA PEGUNUNGAN,,,,,,,,2023
INDONESIA,198873337.0,58189128.0,47890390.0,205656083.0,3669010.0,24326927.0,3926249.0,2023
